total_iter,weights_sum,is_sat_clauses
1585,15483,71
1586,15483,71
1587,15483,71
1588,15483,71
1589,15483,71
1590,15483,71
1591,15483,71
1592,15483,71
1593,15483,71
1594,15483,71
1595,15483,71
1596,15483,71
1597,15483,71
1598,15483,71
1599,15483,71
1600,15483,71
1601,15483,71
1602,15483,71
1603,15483,71
1604,15483,71
1605,15483,71
1606,15483,71
1607,15483,71
1608,15483,71
1609,15483,71
1610,15483,71
1611,15483,71
1612,15483,71
1613,15483,71
1614,15483,71
1615,15483,71
1616,15483,71
1617,15483,71
1618,15483,71
1619,15483,71
1620,15483,71
1621,15483,71
1622,15483,71
1623,15483,71
1624,15483,71
1625,15483,71
1626,15483,71
1627,15483,71
1628,15483,71
1629,15483,71
1630,15483,71
1631,15483,71
1632,15483,71
1633,15483,71
1634,15483,71
1635,15483,71
1636,15483,71
1637,15483,71
1638,15483,71
1639,15483,71
1640,15483,71
1641,15483,71
1642,15483,71
1643,15483,71
1644,15483,71
1645,15483,71
1646,15483,71
1647,15483,71
1648,15483,71
1649,15483,71
1650,15483,71
1651,15483,71
1652,15483,71
1653,15483,71
1654,15483,71
1655,15483,71
1656,15483,71
1657,15483,71
1658,15483,71
1659,15483,71
1660,15483,71
1661,15483,71
1662,15483,71
1663,15483,71
1664,15483,71
1665,15483,71
1666,15483,71
1667,15483,71
1668,15483,71
1669,15483,71
1670,15483,71
1671,15483,71
1672,15483,71
1673,15483,71
1674,15483,71
1675,15483,71
1676,15483,71
1677,15483,71
1678,15483,71
1679,15483,71
1680,15483,71
1681,15483,71
1682,15483,71
1683,15483,71
1684,15483,71
1685,15483,71
1686,15483,71
1687,15483,71
1688,15483,71
1689,15483,71
1690,15483,71
1691,15483,71
1692,15483,71
1693,15483,71
1694,15483,71
1695,15483,71
1696,15483,71
1697,15483,71
1698,15483,71
1699,15483,71
1700,15483,71
1701,15483,71
1702,15483,71
1703,15483,71
1704,15483,71
1705,15483,71
1706,15483,71
1707,15483,71
1708,15483,71
1709,15483,71
1710,15483,71
1711,15483,71
1712,15483,71
1713,15483,71
1714,15483,71
1715,15483,71
1716,15483,71
1717,15483,71
1718,15483,71
1719,15483,71
1720,15483,71
1721,15483,71
1722,15483,71
1723,15483,71
1724,15483,71
1725,15483,71
1726,15483,71
1727,15483,71
1728,15483,71
1729,15483,71
1730,15483,71
1731,15483,71
1732,15483,71
1733,15483,71
1734,15483,71
1735,15483,71
1736,15483,71
1737,15483,71
1738,15483,71
1739,15483,71
1740,15483,71
1741,15483,71
1742,15483,71
1743,15483,71
1744,15483,71
1745,15483,71
1746,15483,71
1747,15483,71
1748,15483,71
1749,15483,71
1750,15483,71
1751,15483,71
1752,15483,71
1753,15483,71
1754,15483,71
1755,15483,71
1756,15483,71
1757,15483,71
1758,15483,71
1759,15483,71
1760,15483,71
1761,15483,71
1762,15483,71
1763,15483,71
1764,15483,71
1765,15483,71
1766,15483,71
1767,15483,71
1768,15483,71
1769,15483,71
1770,15483,71
1771,15483,71
1772,15483,71
1773,15483,71
1774,15483,71
1775,15483,71
1776,15483,71
1777,15483,71
1778,15483,71
1779,15483,71
1780,15483,71
1781,15483,71
1782,15483,71
1783,15483,71
1784,15483,71
1785,15483,71
1786,15483,71
1787,15483,71
1788,15483,71
1789,15483,71
1790,15483,71
1791,15483,71
1792,15483,71
1793,15483,71
1794,15483,71
1795,15483,71
1796,15483,71
1797,15483,71
1798,15483,71
1799,15483,71
1800,15483,71
1801,15483,71
1802,15483,71
1803,15483,71
1804,15483,71
1805,15483,71
1806,15483,71
1807,15483,71
1808,15483,71
1809,15483,71
1810,15483,71
1811,15483,71
1812,15483,71
1813,15483,71
1814,15483,71
1815,15483,71
1816,15483,71
1817,15483,71
1818,15483,71
1819,15483,71
1820,15483,71
1821,15483,71
1822,15483,71
1823,15483,71
1824,15483,71
1825,15483,71
1826,15483,71
1827,15483,71
1828,15483,71
1829,15483,71
1830,15483,71
1831,15483,71
1832,15483,71
1833,15483,71
1834,15483,71
1835,15483,71
1836,15483,71
1837,15483,71
1838,15483,71
1839,15483,71
1840,15483,71
1841,15483,71
1842,15483,71
1843,15483,71
1844,15483,71
1845,15483,71
1846,15483,71
1847,15483,71
1848,15483,71
1849,15483,71
1850,15483,71
1851,15483,71
1852,15483,71
1853,15483,71
1854,15483,71
1855,15483,71
1856,15483,71
1857,15483,71
1858,15483,71
1859,15483,71
1860,15483,71
1861,15483,71
